P00027739T0000|5 28|gamma glutamyltransferase
P08331067T0000|63 86|endo-N-acylneuraminidase
P08349104A0000|33 37|GAL10
P08349632A0679|110 112|psi
P08350061A0209|54 56|CD8
P08352268A0000|16 29|erythropoietin
P08355680A0824|149 159|gamma-actin
P08355697A0000|53 67|tyrosine kinases
P08356792A1275|13 16|p21X
P08356792T0000|0 5|HTLV-1
P08357834A0285|56 64|PKC-delta
P08357834A0285|225 227|PKC
P08361755A0734|48 59|NF-kappa B p50
P08361755A0734|132 140|NF-kappa B
P08361761A0174|332 337|kappa B
P08375651T0000|3 20|Drosophila clathrin
P08376397A0788|81 83|E2F
P08378082A1031|48 49|RB
P08380896A0938|40 49|polymerase
P08383217A0357|69 73|Bel-1
P08386317T0000|14 55|phosphatase 2A dephosphorylates protein kinase
P08386317T0000|72 75|CREB
P08386317T0000|88 91|CREB
P08386318A1102|10 13|IL-6
P08387507A1015|15 19|Myf-5
P08387519A0000|42 47|desmin
P08387994A0980|3 7|orf61
P08388543A1263|116 122|kinase C
P08388543A1263|181 183|Ras
P08394464A1080|11 13|Rev
P08395004A0141|147 150|HIS4
P08395004A0558|65 73|SPT2/SIN1
P08395654T0000|75 83|aromatase
P08396261A0388|155 169|adenylyl cyclase
P08396667T0000|10 14|v-abl
P08396713A0305|155 164|Ah receptor
P08400240A0166|68 79|gamma-globin
P08413186A1199|3 6|Ntl1
P08413205A0733|44 48|Pax-8
P08413215A0327|33 41|NF-kappa B
P08413223A0847|23 39|IL-1 beta NF-kappa B
P08413260A1437|24 25|Rb
P08413291A1473|29 35|TnI-CAT
P08414502A0244|73 75|p53
P08415637A0000|97 107|GTP-binding
P08417331A0745|16 19|HIR1
P08417331A0745|34 39|88-kDa
P08420571A1880|14 18|PACE4
P08428750T0000|40 54|calmodulin-like
P08428940A1763|86 89|MerR
P08428952A0399|8 16|L-plastin
P08428953A1718|61 78|beta-galactosidase
P08428953A1718|144 152|L-plastin
P08428953A1718|377 385|L-plastin
P08429019A0735|3 8|DNase I
P08432696A1117|67 75|(protease
P08438584T0000|83 87|C1-C2
P08440688A1509|27 36|both G alpha
P08441394A1297|80 84|c-fos
P08441394A1297|147 149|Ras
P08441411A1260|32 36|Gfi-1
P08441423A0145|40 43|GCD7
P08442384T0000|3 6|SCH9
P08443340A0522|120 137|beta-glucuronidase
P08449943A0225|83 101|these kinase isozymes
P08453101A0128|52 56|c-jun
P08454591A0692|60 63|TSG6
P08454858A0285|0 7|Ig-alpha
P08455623A0630|122 125|NOP1
P08473731A0149|21 23|B29
P08476854A0097|0 5|DNase I
P08483479A1056|213 220|collagen
P08496157A0000|3 7|bcl-2
P08497269A0999|46 49|GCN1
P08503348A0226|6 17|CoA reductase
P08505340T0000|91 91|2
P08508778A0112|30 33|NOP1
P08508778A0112|62 72|fibrillarin
P08509335T0000|39 56|1,3-beta-glucanase
P08509430A0372|125 128|psaB
P08510924A0490|59 63|HSP70
P08514766A0732|3 8|GTPase
P08516324A0000|166 168|EWS
P08516324A0000|224 227|FLI1
P08522511A1578|26 29|pelA
P08522511A1578|66 83|beta-glucuronidase
P08522511A1578|126 143|beta-glucuronidase
P08522530A1342|4 7|nifA
P08524267A1022|54 69|prothymosin alpha
P08530384A0559|68 70|Oct
P08532536A0925|43 50|TGF-beta
P08533473A0375|31 34|ADH1
P08534855A0000|14 17|FAD7
P08536694A0000|0 13|Protein kinases
P08538052A0000|276 286|DNA-binding
P08538052A0000|353 357|c-myc
P08538483A0207|135 138|GnRH
P08542027A1471|3 5|XS2
P08544820T0000|97 101|Lsp-2
P08550470A1021|9 12|CheW
P08550476A0610|61 64|EpiQ
P08550476A0610|109 112|EpiQ
P08551572A0155|81 84|pp38
P08552042A1497|113 132|steady-state poly(A)+
P08552045A0973|29 39|phosphatase
P08552082A0480|104 119|actin-associated
P08554540A1480|26 28|HIT
P08556707A1390|74 76|p53
P08566751A0455|48 50|Hox
P08567683A0401|8 11|purH
P08569680A0636|7 10|areA
P08569684A0000|122 128|kinase C
P08569684A0000|163 172|polymerase
P08575618A1138|0 4|RNase
P08576042A0765|16 19|HrcA
P08580083A0259|148 179|chloramphenicol acetyltransferase
P08582143A0614|143 156|beta-lactamase
P08583846A0121|32 37|beta-2
P08584035A0740|158 168|DNA-protein
P08585324A0467|28 31|SSC1
P08589358A0235|36 49|erythropoietin
P08590465A0773|50 53|URA1
P08590465A0773|100 103|URA2
P08595878A0201|76 111|Sevenless receptor tyrosine kinase (RTK)
P08598449A0784|144 158|tyrosine kinases
P08599945T0000|14 27|alpha-amanitin
P08603921A1346|41 53|the calmodulin
P08604338A0198|16 20|FLI-1
P08604338A0885|101 105|FLI-1
P08605302A1770|173 176|CatA
P08608222T0000|109 113|STAT1
P08612852A0553|19 23|IGF-I
P08614403A0557|26 38|Rev-erbA alpha
P08617238A0334|30 41|p38 MAP kinase
P08617238A0334|88 99|p38 MAP kinase
P08617800A0150|27 32|erbB-2
P08617800A0675|0 5|DNase I
P08618433A0000|33 36|FLT3
P08618433A0000|71 97|FLT3, tyrosine kinase receptor
P08618882A0343|103 107|BZLF1
P08620856A1172|113 117|c-kit
P08620856A1172|210 214|c-kit
P08621420A1166|79 87|NF-kappaB
P08621542A0535|47 69|(JNKs)/stress-activated
P08622698T0000|33 52|CBF1/RBPJk-repressed
P08622893A0000|27 41|tyrosine kinases
P08625987A1086|35 43|both VpreB
P08626065A0000|87 90|citB
P08626325A0543|50 53|UmuD
P08626596A0000|35 47|AMP-activated
P08626596A0000|55 60|kinase
P08626809A0729|73 82|eIF-2alpha
P08626809A0729|114 123|eIF-2alpha
P08627649A0734|182 184|Sp1
P08628255A0932|36 45|luciferase
P08628284A0181|46 49|lacZ
P08630599A0534|14 20|elastin
P08631667A0851|91 100|dTMP kinase
P08631667A0851|156 172|thymidylate kinase
P08631820A0755|25 28|FPS1
P08633855A1064|3 6|lacS
P08634423A0498|53 56|lacZ
P08637717A0817|97 99|p21
P08637717A1231|0 3|A p21
P08639561T0000|19 23|N-ras
P08641705A0986|135 145|beta-globin
P08642285A1548|87 108|antibodies against STAT1
P08642313T0000|129 141|factor-kappa B
P08643513A0361|45 61|acetyltransferase
P08643578A0532|12 14|Rho
P08645214A1052|72 90|catalase-peroxidase
P08647086T0000|56 63|cyclin D1
P08647086T0000|87 94|cyclin D1
P08647091A0592|40 44|Adh-2
P08649372A0501|0 15|Clb2/Cdc28 kinase
P08649373T0000|79 83|c-myc
P08649389A0692|143 147|c-myc
P08649403A0963|82 93|SNF1-encoded
P08649405T0000|0 2|Sp1
P08649424A0000|15 38|phenylalanine hydroxylase
P08649425A0373|57 62|DNase I
P08649428A1227|65 69|c-mos
P08649841A0956|145 147|CAT
P08657135A1444|84 84|E
P08661100A0285|68 70|App
P08661119A0085|22 32|EP4 receptor
P08662617A2051|59 68|HP-binding
P08663141T0000|120 134|angiotensinogen
P08663219A0246|19 23|PGS-2
P08663310A0157|86 100|immediate-early
P08663326A0000|25 28|DmpR
P08663392A0215|32 35|DSG3
P08665853A0228|65 68|ErbB
P08666404A0311|78 104|serine-threonine phosphatase
P08668124A0744|23 26|TDH3
P08668158A1252|29 32|RPM1
P08668210A0000|61 87|Raf-1/MEK/mitogen-activated
P08668210A0000|95 100|kinase
P08670853A0000|18 27|E-cadherin
P08676266A0838|15 22|protease
P08676858A0309|36 42|S-RNase
P08676858A1084|31 40|T2/S-RNase
P08683106A0374|15 23|IFN-alpha
P08683106A0374|33 37|STAT1
P08683106A0374|89 97|IFN-alpha
P08683106A0374|120 124|STAT1
P08683108A0965|44 47|CREB
P08683108A1501|48 64|the protein kinase A
P08683983A1163|74 78|c-myb
P08688190A0000|24 53|nevadensin 5-O-beta-D-glucoside
P08702756A0000|67 78|actin-myosin
P08702807A0964|78 81|MKK1
P08702807A0964|136 143|cyclin D1
P08703005A0645|90 92|Sp1
P08703010A0905|147 152|GAP-43
P08704240A1111|49 52|CREB
P08706662A1125|35 42|perforin
P08706731A1303|84 88|Ypr10
P08706731A1303|236 240|PR-10
P08707922A0334|56 66|beta-globin
P08710371A0000|100 102|p53
P08710371A0000|176 178|p53
P08720407A1386|95 112|interleukin-1 alpha
P08728040T0000|63 71|Jun kinase
P08732665A0000|35 42|c-erbB-2
P08750190A0000|134 137|CD44
P08756332A0000|12 14|Ras
P08756332A0000|31 41|GTP-binding
P08756332A0000|136 141|kinase
P08756636T0000|31 35|Rad51
P08769409A0114|56 63|RAR beta 2
P08770021T0000|67 69|Ras
P08770896A1121|30 35|IGF-II
P08781119A0723|29 37|Met-ase-1
P08792217A1407|41 46|TIMP-2
P08792217A1407|202 207|TIMP-2
P08794339A1162|55 58|CREB
P08794339A1162|116 127|CREB-binding
P08794339A1162|158 161|CREB
P08794363A0259|68 74|jun-fos
P08794869A0274|46 53|PKC-zeta
P08794869A0274|72 79|integrin
P08798512A1197|53 57|u-PAR
P08798610A0843|148 158|GTP-binding
P08798762A1279|61 63|Cut
P08805338A1061|23 26|OGG1
P08805338A1061|55 71|glycosylase/lyase
P08808120A0774|178 185|ferritin
P08808707A0631|78 93|stress-activated
P08808707A0631|101 106|kinase
P08808927A0417|40 43|vspA
P08808939A0000|97 100|CcpA
P08816459A0090|61 66|RevErb
P08816460A1769|36 44|Jun kinase
P08816498A0000|25 29|Raf-1
P08816504T0000|151 153|Ras
P08816507A1125|56 58|p53
P08817323A0714|58 65|DXS6673E
P08817323A0714|126 133|DXS6673E
P08818718A1229|123 126|MDR1
P08820642A0173|18 21|hrpZ
P08824798A0761|5 13|ESP1/CRP2
P08824798A0761|92 104|cysteine-rich
P08825636T0000|79 81|p50
P08825636T0000|112 120|NF-kappa B
P08825636T0000|153 170|NF-kappa B-mediated
P08833153A0628|27 31|hCHLR
P08833653A0783|37 42|amylin
P08836172A1382|125 132|myogenin
P08837746A0951|26 30|BrAAP
P08838805T0000|29 40|beta-catenin
P08839832A0729|17 21|CD30v
P08839832A1220|32 36|CD30v
P08840501A0345|30 42|actin-related
P08845378A0368|71 75|MZF-1
P08849778A0226|36 39|repA
P08864061A0000|12 26|thymidine kinase
P08868954A0648|123 149|angiotensin converting enzyme
P08871542A1352|134 138|Thbs3
P08871635A0000|0 32|B cell antigen receptor (BCR)-induced
P08877103A0081|53 56|mdr2
P08882710A0000|99 114|interferon-alpha
P08891131A0000|30 54|vanA-mediated glycopeptide
P08891345A0684|49 53|c-mos
P08892755A0186|57 60|JAK1
P08892859A0563|96 100|C-MYB
P08896280A0860|51 54|IME2
P08898336A0268|0 4|RNase
P08898893A0202|3 7|PAI-2
P08898893A0202|129 139|phosphatase
P08900190A0430|63 84|MAP kinase phosphatase-1
P08901135A1132|3 6|NIT2
P08910292T0000|21 31|GTP-binding
P08910292T0000|40 43|Rac1
P08910292T0000|72 94|kinase/stress-activated
P08912807A0411|139 149|beta-casein
P08914522A0118|29 34|kinase
P08914532A0598|22 52|(1-->4)-beta-xylan endohydrolase
P08915508A0000|267 286|reverse transcriptase
P08916960A0350|92 96|bcl-2
P08916960A1331|55 59|bcl-2
P08916960A1331|126 130|bcl-2
P08917435A0481|72 76|PAI-1
P08917435A0481|120 124|c-jun
P08918810A0967|7 12|DNase I
P08918885A0811|0 3|Kss1
P08918918T0000|50 52|Tat
P08919907A0763|21 25|VSF-1
P08921387A1182|131 134|EZH1
P08922385A0622|77 94|beta-galactosidase
P08923470A0458|4 8|gamma
P08927612T0000|0 5|Ki-ras
P08927612T0000|9 11|p53
P08932385T0000|5 7|Maf
P08934540A0673|3 17|nm23-H1/nm23-H2
P08938420A0862|21 24|LHA4
P08938420A0862|28 31|LHA2
P08943354A0295|124 133|Tyk2 kinase
P08943354A0295|162 171|Jak kinases
P08951815A0465|62 70|both genes
P08960827A1169|88 94|insulin
P08970951A0823|99 101|Pol
P08972182A0527|124 126|ICE
P08972182A0527|172 174|ICE
P08973630A0923|79 83|Cdc42
P08973917A0632|35 38|PWP2
P08977235A0134|60 70|JAK2 kinases
P08977235A0588|85 89|STAT5
P08977235A0588|133 137|STAT5
P08977235A0588|141 145|STAT1
P08977401A0227|3 9|RI alpha
P08977401A0227|257 263|RI alpha
P08985415A1096|79 87|IFN-gamma
P08990168A0688|8 10|p48
P08990168A0688|59 63|STAT1
P08993393T0000|24 38|immediate-early
P08993831A0000|108 122|muscle-specific
P08993836A0699|66 75|HNF-3 alpha
P08995652A0812|120 125|UL80.5
P08995652A0812|181 186|UL80.5
P08995652A0812|300 305|UL80.5
P08995652A0812|416 421|UL80.5
P08995652A0812|587 592|UL80.5
P08999857A0801|122 138|alpha1(I) collagen
P09000146T0000|44 48|c-src
P09003410A0000|8 11|p100
P09006007A0997|114 117|SelB
P09006022A0252|33 36|cvaA
P09006914A1127|132 141|E-selectin
P09006935A0590|0 2|Sp1
P09008301A0193|87 98|single-chain
P09010223A0667|72 75|PU.1
P09022040A0263|7 15|L-plastin
P09022040A0263|118 126|L-plastin
P09022040A0263|253 261|L-plastin
P09024805A0905b|131 135|BZLF1
P09024805A0905b|155 165|beta-globin
P09027346A1957|0 15|Finally, antibody
P09029091A0881|58 77|phospholipase C gamma 1
P09029159A0000|61 67|Ser/Thr
P09029159A0000|75 80|kinase
P09030581A0990|49 58|MAP kinases
P09032233T0000|24 38|POU-homeodomain
P09032233T0000|70 87|pituitary-specific
P09032259A0150|24 27|Rac1
P09037032T0000|40 46|(P2P-R)
P09037163A1652|59 62|gpc4
P09046384A0403|69 75|amylase
P09048617A0648|21 44|of tyrosine kinase receptor
P09049198A0289|93 95|p21
P09049270A0488|66 72|MT-like
P09049304A1193|39 43|Egr-1
P09049304A1193|109 112|AP-2
P09050849A0000|113 116|Sec7
P09053835A0865|9 11|p53
P09053835A0865|49 51|p53
P09057648A0422|91 95|c-fos
P09058373A0670|0 4|RNase
P09058378A1134|0 42|Conversely, activated glucocorticoid receptors
P09064659A1055|134 138|HUPF1
P09065463A1012|28 32|Rad51
P09074508A0397|8 11|CD38
P09079928A1319|17 20|OxyR
P09079928A1319|139 142|LysR
P09080250A0212|51 54|p15E
P09080250A0212|90 99|polymerase
P09084174A0667|192 194|Asd
P09085842A0181|126 131|U1-70K
P09089653A0615|102 111|luciferase
P09089653A1112|11 21|DNA-protein
P09090054A0186|132 148|alpha-glucosidase
P09091403T0001|70 73|mts1
P09092580A1354|38 46|MAP kinase
P09094315A0541|41 45|B-Myb
P09098066A0119|52 74|cytadherence-associated
P09099745A1446|96 98|p21
P09101085A0686|67 73|p27Kip1
P09108451A0160|76 83|G1-phase
P09111048X0000|152 157|(nNOS)
P09111309A0674|27 43|mitogen-activated
P09111309A0674|51 61|(MAP) kinase
P09111314A1243|44 51|p15INK4B
P09111314A1243|54 61|TGF-beta
P09111314A1243|134 136|p15
P09111314A1243|157 164|p15INK4B
P09111340A0240|38 42|c-myc
P09111340A0240|120 122|myc
P09111340A0240|188 198|beta-globin
P09111367A1098|288 292|c-myc
P09115279A0345|95 104|Pch1 kinase
P09121430A0132|13 33|Ras/mitogen-activated
P09121430A1075|60 64|c-myc
P09121452A0538|33 41|C/EBP beta
P09121476T0000|38 45|DEAD-box
P09128730A0000|159 164|biotin
P09129147A0644|3 5|Jem
P09129147A0644|91 98|ATF/CREB
P09132057A0559|95 102|receptor
P09139737A0000|17 24|protease
P09147420T0000|64 66|Tat
P09148903A1715|107 115|NF-kappaB
P09148903A1715|153 164|IkappaBalpha
P09148935A0805|127 131|c-Src
P09154795A0628|84 110|DNA polymerase beta (beta-pol)
P09154822T0000|15 25|Raf-1 kinase
P09155015A0140|24 34|kinase MEKK1
P09162092A0675|0 3|MKK3
P09168134A0858|66 69|Sm-E
P09169127A0371|155 156|y1
P09169475A0272|55 59|gp130
P09169593T0000|19 35|mitogen-activated
P09169593T0000|43 77|kinase kinase (MEK), mitogen-activated
P09169593T0000|85 105|kinase and casein kinase
P09170159A0348|90 107|tyrosinase-related
P09171389A0549|148 151|PyrR
P09174049A1788|28 35|H1 kinase
P09180687A0096|24 27|SulA
P09182527A0443|23 25|p53
P09182707A0254|141 163|cytoskeleton-associated
P09182990A0245|128 132|SUP45
P09187136A0000|31 49|major protein kinase C
P09190202A0166|34 39|Sec23p
P09190202A0166|86 91|Sec13p
P09192786T0000|22 23|LU
P09197408A0126|15 18|facB
P09199292A0536|58 69|cyclin E-cdk2
P09202669A0614|109 123|promoter-driven
P09205113A0587|67 70|HPRT
P09209438A0994|104 114|DNA-protein
P09211934A0722|0 5|DNase I
P09215891A0000|51 54|CIN4
P09219526A0383|3 18|Man9-mannosidase
P09223479A1193|155 159|BHRF1
P09228092A1779|31 37|dUTPase
P09233772A0136|238 248|GTP-binding
P09233801A1180|26 31|kinase
P09233801A1180|57 64|TGF-beta
P09233809A0815|63 67|Hnf3g
P09233811A0072|54 58|Ste11
P09234696A0238|16 21|kinase
P09234696A0238|50 66|mitogen-activated
P09234717A0000|40 46|120-kDa
P09234727A0770|0 7|Gal4-Eed
P09236224A0939|21 23|p21
P09238860A0175|125 128|CREB
P09238860A0175|136 138|tau
P09238860A1974|49 52|CREB
P09241232A0653|3 6|Ogg1
P09242506A1033|0 2|E2F
P09242506A1033|38 40|E2F
P09252397A0081|98 100|JUN
P09254709T0000|58 61|CcpA
P09255349A0836|20 25|GTPase
P09259052A0568|28 30|Fos
P09259313A0950|15 20|kinase
P09259328A0440|176 185|luciferase
P09261155A0833|84 98|insulin receptor
P09263010T0000|81 85|c-myc
P09267431A0000|58 64|kinases
P09268661A1405|37 56|reverse transcriptase
P09278445T0000|25 29|RNase
P09278494A0762|21 23|ETS
P09279379A0310|120 122|H2B
P09287352A0930|98 114|mitogen-activated
P09287352A0930|122 127|kinase
P09303437A0875|34 39|hCRBP1
P09303437A0875|217 219|CAT
P09303635A0000|64 86|beta-glucocerebrosidase
P09305592A0000|65 71|bcr/abl
P09311810A0814|21 28|cyclin D3
P09312025A0373|58 64|PKC zeta
P09312025T0000|49 59|kinase C zeta
P09312025T0000|111 119|NF-kappaB
P09312032A0165|29 34|snoRNA
P09314487T0000|62 71|polymerase
P09315631A1064|13 16|POR2
P09315631A1064|91 94|POR2
P09315632A1137|63 67|FGFR3
P09315632A1137|150 154|FGFR3
P09315633A0333|63 72|interferon
P09321657A0439|69 72|cox3
P09325273A1240|66 74|ubiquitin
P09325273A1240|97 110|poly-ubiquitin
P09325273A1240|154 171|poly-ubiquitinated
P09325273A1240|238 251|poly-ubiquitin
P09326246A0567|111 120|luciferase
P09326317A0372|76 79|EXT2
P09328349A1679|89 101|alpha-subunit
P09334330A0252|56 63|TGF-beta
P09334330A0252|141 144|Smad
P09335298A2129|181 184|ParE
P09335608T0000|75 90|Drosophila myosin
P09335619A0583|174 177|atp9
P09336455A0000|75 78|RNR3
P09341139A0690|127 139|beta-arrestin
P09343210A1112|44 49|VCAM-1
P09343210A1112|86 102|acetyltransferase
P09343210A1112|149 154|VCAM-1
P09343210A1112|169 177|NF-kappaB
P09343210A1112|208 213|VCAM-1
P09343222A0415|23 26|CCR5
P09343433A0360|60 73|II-transcribed
P09346238T0000|0 4|F-box
P09346238T0000|65 83|SCF ubiquitin-ligase
P09346938A1680|89 96|protease
P09346938A1680|127 136|cathepsin B
P09352016A1110|8 12|G-CSF
P09353255A0159|81 94|FG-nucleoporin
P09353296A0510|61 64|moaA
P09354676A1714|118 122|FGFR3
P09354757A1444|73 77|RNase
P09358069T0000|47 60|erythropoietin
P09360956A0840|56 63|CKIalpha
P09362499A0000|3 5|Fis
P09363759A0000|0 18|Protein phosphatases
P09364211A0319|41 43|E2F
P09365431A0314|50 69|acetylcholinesterase
P09368006A1332|32 40|NF-kappaB
P09368026A0000|24 38|calcium-binding
P09368100A1354|3 13|mHIF-1 alpha
P09368190A1053|120 128|IFN-gamma
P09368190A1053|178 186|IFN-alpha
P09368760A0665|26 35|Drosophila
P09369450A1358|115 119|HNF-1
P09369453A0273|27 31|Bcl-2
P09369482A0690|118 123|G6Pase
P09371431A1172|83 89|thiCOGE
P09372908A1068|139 146|Polycomb
P09372924A0758|16 21|rhHR23
P09372924A0758|120 124|hHR23
P09380507A0514|121 125|alpha
P09383156A0691|8 12|RNase
P09388198A1396|79 90|p38 MAP kinase
P09388199A0948|29 32|FadR
P09388200A0639|74 77|MDM2
P09388200A0639|100 104|c-fos
P09388271A1243|80 96|mitogen-activated
P09390183A1027|50 52|NMT
P09391173A0811|35 40|ACCase
P09393771A1659|0 8|TNF-alpha
P09393875A0873|132 136|c-fos
P09393875A0873|201 203|Fos
P09395525A0395|162 166|IGF-I
P09396722A0185|48 57|peroxidase
P09396796A1173|31 35|CDF-1
P09396796A1173|43 45|E2F
P09397261A0940|0 12|Interleukin-1
P09398855A0438|132 134|p53
P09405685A0113|50 52|p53
P09409774A0214|90 94|VCSA1
P09409774A0214|148 152|VCSB1
P09413375A1486|51 54|IL-6
P09416467A0959|48 50|ACE
P09417108A0000|25 30|Htf9-c
P09417870A0105|46 52|kinase C
P09417941A1287|43 54|spermadhesin
P09418861A0623|74 80|kinase C
P09418861A0623|84 94|n-chimaerin
P09420219A0284|117 126|beta-actin
P09421511A0827|59 72|RNA-polymerase
P09421516A1516|23 33|beta-globin
P09421516A1516|137 147|beta-globin
P09421521T0000|63 74|endonuclease
P09422351A0000|0 39|Ca2+/calmodulin-dependent protein kinase II
P09422727A0196|74 80|kinase A
P09422727A0196|143 145|CRE
P09423310A0251|120 123|CD34
P09423856A1098|0 7|Protease
P09425036A0649|45 47|Src
P09426068A0826|76 84|TGF-alpha
P09426239A0386|3 7|cglIM
P09427627A0802|30 41|PDGF receptor
P09427627A0930|114 122|MAP kinase
P09427627T0000|33 44|PDGF receptor
P09434185A0902|17 20|SPP1
P09438427A0727|111 128|beta-galactosidase
P09442072A0716|7 12|DNase I
P09446600A0260|24 41|beta-galactosidase
P09446616A0780|16 20|Raf-1
P09447962A1027|226 229|HIS4
P09447963A0223|0 3|Sip1
P09447994A0000|161 165|c-fos
P09452444A0450|63 66|IL-6
P09454735A1782|64 72|MAP kinase
P09467900A0701|3 8|CAPLC1
P09467955A0468|66 69|PEA3
P09473040A1303a|9 12|alcR
P09473040A1303b|9 12|alcR
P09475378A1449|18 41|transcription-polymerase
P09477316A0140|81 83|Hox
P09479498A0000|23 33|RING-finger
P09480831A0272|40 41|AM
P09482902A0942|76 78|p16
P09488441A0615|69 78|P-selectin
P09488441A0615|87 95|NF-kappaB
P09488441A0615|132 141|P-selectin
P09488491A0000|0 2|E2F
P09490676A0800|38 42|Ets-2
P09498553A0702|141 145|CYP51
P09501093A0071|38 48|(MAP) kinase
P09501093A0071|72 74|Ras
P09504423A0114|134 158|glutathione-S-transferase
P09506990T0000|5 8|ZFM1
P09508377A0863|113 134|eumelanin/phaeomelanin
P09508775A0293|60 89|mitogen-activated protein kinase
P09511724A0483|32 34|Dsg
P09514962A0841|17 22|14-kDa
P09515031A1020|47 51|c-fos
P09515032A1230|19 21|p21
P09519830A0282|250 264|thymidine kinase
P09522979T0000|20 30|fibronectin
P09524122A0336|65 67|RAS
P09524222A0769|127 138|beta-adducin
P09524222A0769|248 254|kinase C
P09524222A1113|31 42|beta-adducin
P09524259A0301|3 11|hp55 gamma
P09524276A0939|0 3|LysR
P09527921A1178|16 26|DNA-protein
P09527921A1178|89 91|Rep
P09528758T0000|89 93|Oct-6
P09528770A1379|33 42|kinase cAPK
P09528987A1348|196 200|T/EBP
P09531549A0658|115 120|yAP180
P09535835A0279|53 56|RhoA
P09535835A0279|60 64|Cdc42
P09535851A0591|62 77|PtdIns(4)P kinase
P09536028A0945|61 74|cyclooxygenase
P09537295A0951|78 101|transcriptase-polymerase
P09537651A0366|13 16|PEA3
P09538156A0130|0 4|BRCA1
P09538258A0200|48 50|Ras
P09539421A0970|5 7|Sir
P09539746A0781|53 61|caspase-9
P09541636T0000|0 13|Creatine kinase
P09545312A1197|38 42|HMG-I
P09545323T0000|85 93|MLH1-PMS1
P09545332A0137|68 82|insulin receptor
P09545353A1071|138 147|E-selectin
P09545638A0836|66 82|methyltransferase
P09546424A1550|26 42|PDGF beta-receptor
P09547311A1394|55 64|E-cadherin
P09547311A1394|91 100|E-cadherin
P09547311A1394|222 231|E-cadherin
P09551938A0318|79 82|CCR5
P09553134A0596|55 68|tyrosine kinase
P09556861A1018|176 190|tRNA-synthetase
P09564860A2139|11 20|receptor/G
P09564860A2315|80 86|G(q/11)
P09566871A0343|155 174|reverse transcriptase
P09566871T0000|52 68|mitogen-activated
P09570133A0474|112 121|ETS-domain
P09572428A0526|14 17|VEGF
P09572491A1044|50 52|p53
P09573374A0687|148 151|IRF1
P09575187A1558|16 24|NF-kappaB
P09575217A0000|39 53|tyrosine kinases
P09576230T0000|22 29|synthase
P09579602A1720|63 66|CD34
P09579808A0000|0 69|UDP-GlcNAc:alpha-6-D-mannoside beta-1,2-N-acetylglucosaminyltransferase
P09580700A0841|145 150|DNase I
P09581775A0185|58 66|NF-kappaB
P09582327A0295|54 57|GnRH
P09582327A0295|157 162|LHbeta
P09582327A0295|290 293|GnRH
P09582350A0165|118 130|dehydrogenase
P09582953A0000|64 74|C1-esterase
P09584165T0000|91 108|src tyrosine kinases
P09584179A0673|66 70|Adf-1
P09584180A0701|86 94|NF-kappaB
P09596738T0000|25 41|mitogen-activated
P09618150A0127|124 127|UCP1
P09618150A0127|160 163|UCP1
P09618481T0000|92 95|Smad
P09620273A0189|13 14|Rb
P09620873A1710|134 136|PKC
P09632709A0464|127 145|ecdysone-stimulated
P09632734A0943|33 36|ERK2
P09633879A0246|56 63|ferritin
P09635276A1608|12 28|myosin phosphatase
P09636670T0000|34 55|cyclin-dependent kinase
P09636708A0460|3 6|YccA
P09638485A0111|64 74|phosphatase
P09641167A1359|23 31|beta, PDGF
P09642214A0244|57 61|SHP-2
P09642214A0244|89 105|mitogen-activated
P09642214A0244|113 118|kinase
P09642238A1285|136 138|Sp1
P09647233A0336|73 81|NF-kappa B
P09649315A0943|81 89|MIP-1 beta
P09649438A0182|63 66|CDK9
P09651375T0000|29 33|RGS12
P09651383A0967|103 107|HNF-4
P09651383A0967|130 135|apoCII
P09652737A1244|44 46|Fos
P09652737A1244|135 137|Jun
P09653648A0445|47 52|ZNF189
P09655248A0000|3 21|gp330/Megalin/LRP-2
P09658405A0000|3 7|Dax-1
P09662339A0744|117 120|CD44
P09665720A0325|62 71|polymerase
P09666114A0389|56 60|c-met
P09668063A0274|27 29|Ets
P09668063A0274|113 116|Ets2
P09670943T0000|0 11|B cell antigen
P09675154A0690|91 107|deletion/two-base
P09677410A1059|36 38|p53
P09679750A0304|96 111|(cyclo-oxygenase
P09685226A0000|99 124|parathyroid hormone-related
P09686603A0124|147 153|TCR beta
P09691031A1050|63 68|myosin
P09693035T0000|16 37|serine/threonine kinase
P09694599A1355|35 43|IL-1alpha
P09694725A0500|90 104|gamma interferon
P09694869A0932|66 68|p21
P09694897T0000|23 40|ribonucleoprotein C
P09704006A0224|0 4|Arnt3
P09705258A0837|75 76|IE
P09705324A0213|0 5|DNase I
P09705497A0227|8 11|MMS2
P09705564T0000|40 42|E5A
P09710582A0535|38 54|mitogen-activated
P09710582A0535|62 67|kinase
P09710599T0000|22 38|mitogen-activated
P09710641A0000|177 191|zeta-crystallin
P09712898A0911|26 28|p38
P09712898T0000|30 45|stress-activated
P09712919A0307|95 98|CREB
P09713996A0262|16 19|MDR1
P09716179A0974|0 8|RXR-gamma
P09716179A0974|87 108|cyclin-dependent kinase
P09716179A0974|169 178|cdk2 kinase
P09716183A1036|123 131|ERK kinase
P09718372T0000|71 88|Sty1/Spc1 MAP kinase
P09722508A0953|53 55|Src
P09727046A0000|127 137|beta-globin
P09729481A0000|6 55|branched-chain-2-oxo-acid dehydrogenase (BCOD) kinase
P09729481A1177|20 22|Sp1
